DangerType: Rain
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.1913044
Grime: 0.7434782
BkgDroneVolume: 0.1-
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 0.5826088
Palette: 1212121212
EffectColorA: 10
EffectColorB: 2
Effects: Fog-0.8463768-20-20, 
AmbientSounds: OMNI><AM_ENV-LightWind.ogg><503.193><13.66147><0.4246375><1, OMNI><SO_WAT-LilDrips.ogg><668.107><13.78485><0.3144929><1, OMNI><SO_WAT-RunningWater.ogg><828.6943><13.8587><0.2159417><1, OMNI><waterGurgleLOOP1.wav><334.5615><13.70059><0.2565221><1, OMNI><RWTW_AmbLot.ogg><171.1181><13.13335><0.4130435><1, 
FadePalette: 8, 0
