Palette: 1212121212
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.5
overseersMin: 1
overseersMax: 6
playerGuideOverseerSpawnChance: 0.7
Room Setting Templates: inside, outside, Cistern
kelpColor: 0.1, 0.5, 0.6
Subregion: Cistern
Subregion: Industrial Outflow
Room_Attr: IDDC_D01: trainlizard-Avoid,scavengerking-Avoid,slugnpc-Avoid,firebug-Avoid,tubeworm-Avoid,deer-Avoid,jetfish-Avoid,redcentipede-Avoid,dropbug-Avoid,zooplizard-Avoid,hazer-Avoid,lanternmouse-Avoid,cicadaa-Avoid,standardgroundcreature-Avoid,lizardtemplate-Avoid,cyanlizard-Avoid,pinklizard-Avoid,garbageworm-Avoid,polemimic-Avoid,fly-Avoid,brotherlonglegs-Avoid,redlizard-Avoid,aquacenti-Avoid,sealeech-Avoid,bluelizard-Avoid,snail-Avoid,inspector-Avoid,leech-Avoid,daddylonglegs-Avoid,spider-Avoid,whitelizard-Avoid,scavengerelite-Avoid,vulture-Avoid,salamander-Avoid,spitlizard-Avoid,bigeel-Avoid,blacklizard-Avoid,yeek-Avoid,tentacleplant-Avoid,mirosbird-Avoid,templeguard-Avoid,cicadab-Avoid,slugcat-Avoid,bigneedleworm-Avoid,greenlizard-Avoid,centipede-Avoid,spitterspider-Avoid,centiwing-Avoid,smallneedleworm-Avoid,hunterdaddy-Avoid,terrorlonglegs-Avoid,smallcentipede-Avoid,motherspider-Avoid,scavenger-Avoid,overseer-Avoid,vulturegrub-Avoid,eggbug-Avoid,bigspider-Avoid,kingvulture-Avoid,mirosvulture-Avoid,yellowlizard-Avoid,eellizard-Avoid,stowawaybug-Avoid,bigjelly-Avoid,jungleleech-Avoid,
Room_Attr: IDDC_C03: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B04: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_A08: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B06: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_A12: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B15: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B07: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_A09: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_A07: trainlizard-Avoid,scavengerking-Avoid,slugnpc-Avoid,firebug-Avoid,tubeworm-Avoid,deer-Avoid,jetfish-Avoid,redcentipede-Avoid,dropbug-Avoid,zooplizard-Avoid,hazer-Avoid,lanternmouse-Avoid,cicadaa-Avoid,standardgroundcreature-Avoid,lizardtemplate-Avoid,cyanlizard-Avoid,pinklizard-Avoid,garbageworm-Avoid,polemimic-Avoid,fly-Avoid,brotherlonglegs-Avoid,redlizard-Avoid,aquacenti-Avoid,sealeech-Avoid,bluelizard-Avoid,snail-Avoid,inspector-Avoid,leech-Avoid,daddylonglegs-Avoid,spider-Avoid,whitelizard-Avoid,scavengerelite-Avoid,vulture-Avoid,salamander-Avoid,spitlizard-Avoid,bigeel-Avoid,blacklizard-Avoid,yeek-Avoid,tentacleplant-Avoid,mirosbird-Avoid,templeguard-Avoid,cicadab-Avoid,slugcat-Avoid,bigneedleworm-Avoid,greenlizard-Avoid,centipede-Avoid,spitterspider-Avoid,centiwing-Avoid,smallneedleworm-Avoid,hunterdaddy-Avoid,terrorlonglegs-Avoid,smallcentipede-Avoid,motherspider-Avoid,scavenger-Avoid,overseer-Avoid,vulturegrub-Avoid,eggbug-Avoid,bigspider-Avoid,kingvulture-Avoid,mirosvulture-Avoid,yellowlizard-Avoid,eellizard-Avoid,stowawaybug-Avoid,bigjelly-Avoid,jungleleech-Avoid,
Room_Attr: IDDC_A26: trainlizard-Avoid,scavengerking-Avoid,slugnpc-Avoid,firebug-Avoid,tubeworm-Avoid,deer-Avoid,jetfish-Avoid,redcentipede-Avoid,dropbug-Avoid,zooplizard-Avoid,hazer-Avoid,lanternmouse-Avoid,cicadaa-Avoid,standardgroundcreature-Avoid,lizardtemplate-Avoid,cyanlizard-Avoid,pinklizard-Avoid,garbageworm-Avoid,polemimic-Avoid,fly-Avoid,brotherlonglegs-Avoid,redlizard-Avoid,aquacenti-Avoid,sealeech-Avoid,bluelizard-Avoid,snail-Avoid,inspector-Avoid,leech-Avoid,daddylonglegs-Avoid,spider-Avoid,whitelizard-Avoid,scavengerelite-Avoid,vulture-Avoid,salamander-Avoid,spitlizard-Avoid,bigeel-Avoid,blacklizard-Avoid,yeek-Avoid,tentacleplant-Avoid,mirosbird-Avoid,templeguard-Avoid,cicadab-Avoid,slugcat-Avoid,bigneedleworm-Avoid,greenlizard-Avoid,centipede-Avoid,spitterspider-Avoid,centiwing-Avoid,smallneedleworm-Avoid,hunterdaddy-Avoid,terrorlonglegs-Avoid,smallcentipede-Avoid,motherspider-Avoid,scavenger-Avoid,overseer-Avoid,vulturegrub-Avoid,eggbug-Avoid,bigspider-Avoid,kingvulture-Avoid,mirosvulture-Avoid,yellowlizard-Avoid,eellizard-Avoid,stowawaybug-Avoid,bigjelly-Avoid,jungleleech-Avoid,
Room_Attr: IDDC_B03: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B16: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_B05: cicadab-Like,cicadaa-Like,
Room_Attr: IDDC_C04: cicadab-Like,cicadaa-Like,
