DangerType: Rain
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.09855088
Grime: 0.5
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 13131313
EffectColorA: 6
EffectColorB: 3
Effects: RockFlea-0.1565217-252-0.2666702, TinyDragonFly-0.08695652-250.4-41.33334, Beetle-0.07536216-250.4-87.73333, ModifyEffectColorB-0,0.1637679,0.3782609-20-20, 
AmbientSounds: OMNI><RWTW_AmbInterior.ogg><2.634796><3.656708><0.3420291><1, OMNI><RWTW_AmbFloor.ogg><0.707016><71.79976><0.5057977><1, OMNI><SO_IND-HeatDuct.ogg><-1.256424><140.3352><0.1927535><1, 
