DangerType: Rain
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.09855088
Grime: 0.4188402
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 13131313
EffectColorA: 6
EffectColorB: 3
Effects: Fog-0.1507247-0-0, TinyDragonFly-0.04637677-0-0, Beetle-0.08695669-0-0, RockFlea-0.04057959-0-0, 
AmbientSounds: OMNI><AM_ENV-CityTone.ogg><3.236191><4.531166><0.3318833><1, OMNI><AM_ENV-LightWind.ogg><3.206573><74.2213><0.337681><1, OMNI><AM_ENV-WinterTrees.ogg><1.950974><143.403><0.4014493><1, OMNI><AM_IND-Utility03.ogg><2.58519><214.7333><0.4072465><1, 
