PBA1_TEST3: 525><-46.5><524.137315693><-47.6693592502><0><
PBA1_ROOF2: 1272><121.5><876.924006291><110.215350474><0><
PBA1_INSIDE2: 1197><-79.5><1034.78693619><24.9171769977><0><
PBA1_TEST4: 786><-21><450.118739784><33.6724826414><0><
PBA1_ROOF1: 1035><118.5><1568.75702902><-552.809322173><0><
PBA1_INSIDE1: 1035><-70.5><1261.47337739><85.4491792055><0><
PBA1_PIPES5: 96><-19.5><1214.80951233><-57.6900070122><0><
PBA1_S01: 336><70.5><414.162402178><-37.6757291706><0><
PBA1_PIPES1: 360><-52.5><571.032859886><-48.1076353641><0><
PBA1_PIPES2: 336><67.5><502.734899166><-74.3085518102><0><
PBA1_SEWER2: 976.5><-349.5><1223.68006793><-421.481850664><0><
OFFSCREENDENPBA1: 549><91.5><108><-64.5><0><
PBA1_PIPES3: 1026><-181.5><1100.75009217><-55.7832051651><0><
PBA1_SEWER3: 1494><-349.5><1070.94413796><-297.90638505><0><
PBA1_PIPES4: 1269><-213><1379.85935257><16.2740752692><0><
PBA1_PIPES7: 792><-181.5><1305.70534142><-153.546577099><0><
PBA1_WALL1: 1419><-19.5><1131.43994856><-115.128811599><0><
PBA1_SEWER1: 1243.5><-349.5><776.811815373><-168.951468028><0><
PBA1_INSIDE3: -282><-13.5><1082.12571604><-195.336880104><0><
PBA1_PIPES6: -129><-16.5><1032.77381829><59.6470637015><0><
PBA1_HYPEAURA: -438><84><-12.9888977137><-161.224613582><0><
Connection: PBA1_TEST3,PBA1_TEST4,43,19,10,12,0,2
Connection: PBA1_TEST3,PBA1_PIPES1,9,6,42,6,2,0
Connection: PBA1_ROOF2,PBA1_ROOF1,17,3,90,12,3,3
Connection: PBA1_ROOF2,PBA1_WALL1,36,5,12,64,0,2
Connection: PBA1_INSIDE2,PBA1_WALL1,39,36,3,19,0,2
Connection: PBA1_INSIDE2,PBA1_INSIDE1,10,25,37,20,2,0
Connection: PBA1_INSIDE2,PBA1_PIPES4,31,10,17,34,3,1
Connection: PBA1_TEST4,PBA1_ROOF1,97,27,20,4,0,3
Connection: PBA1_TEST4,PBA1_INSIDE1,93,13,5,28,0,2
Connection: PBA1_INSIDE1,PBA1_PIPES3,18,3,21,31,3,1
Connection: PBA1_PIPES6,PBA1_PIPES5,45,16,33,14,0,1
Connection: PBA1_PIPES6,PBA1_INSIDE3,12,14,43,13,2,0
Connection: PBA1_PIPES5,PBA1_PIPES1,93,8,6,20,0,2
Connection: PBA1_S01,PBA1_PIPES2,20,28,29,22,0,1
Connection: PBA1_PIPES1,PBA1_PIPES2,6,22,14,13,2,2
Connection: PBA1_SEWER2,PBA1_PIPES7,7,19,79,2,2,3
Connection: PBA1_SEWER2,PBA1_SEWER1,47,9,5,9,3,3
Connection: PBA1_PIPES3,PBA1_PIPES4,31,17,9,23,0,2
Connection: PBA1_PIPES3,PBA1_PIPES7,7,15,94,15,2,0
Connection: PBA1_SEWER3,PBA1_SEWER1,10,19,94,19,2,0
Connection: PBA1_PIPES4,PBA1_WALL1,91,35,18,8,1,2
Connection: PBA1_INSIDE3,PBA1_HYPEAURA,18,18,41,27,2,0
