VV_E01: 186><88.5><94.5><-46.10002><0><
OFFSCREENDEN_VV: -291><1324.5><-364.5><-473.6><1><
VV_D01: 949.5><55.5><549><-145.1><0><
VV_A01: 864><-165><472.5><-689.6><0><
VV_B01: 976.5><-334.5><732><-538.1><0><
VV_A02: 1075.5><-165><477><-533.6><0><
VV_B07: 948><-498><568.5><-365.6><0><
VV_C02: -447><-616.5><213><-52.5><1><
VV_B02: -663><84><-595.5><105.4><2><
VV_A03: -660><306><-688.5><360.4><2><
VV_B06: 195><-357><82.5><-587.6><1><
VV_B08: -30><-543><0><-1.14440900063e-05><1><
VV_B05: -234><735><-181.5><897.4><2><
VV_B04: -183><1047><-142.5><1305.4><2><
VV_C01: -531><-337.5><-499.5><-277.1><1><
VV_A04: -255><363><-214.5><378.4><2><
VV_A05: -327><525><-289.5><609.4><1><
Connection: VV_A03,VV_A04,46,24,10,8,0,2
Connection: VV_A03,VV_B02,36,11,34,66,0,1
Connection: VV_A04,VV_A05,42,26,25,5,1,3
Connection: VV_A05,VV_B05,28,34,10,6,1,3
Connection: VV_B02,VV_C01,36,5,23,98,3,1
Connection: VV_B04,VV_B05,29,7,35,65,3,1
Connection: VV_B06,VV_E01,22,65,25,9,1,3
Connection: VV_B06,VV_B08,15,7,43,56,2,0
Connection: VV_B08,VV_C02,3,12,137,12,2,0
Connection: VV_C01,VV_C02,23,10,21,23,3,1
